Texas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1895-2000
Missing: -99
Date,Value,Anomaly
192803,58.7,2.3
192804,61.4,-3.4
192805,72.4,-0.1
192806,79.8,0.2
192807,82.9,0.6
192808,81.8,-0.1
192809,74.2,-1.7
192810,68.9,2.9
192811,52.8,-1.8
192812,46.3,-0.5
192901,46.3,0.9
192902,42.0,-7.3
192903,57.9,1.5
192904,67.7,2.9
192905,70.9,-1.6
192906,80.3,0.7
192907,81.5,-0.8
192908,83.1,1.2
192909,75.9,0.0
192910,66.5,0.5
192911,48.0,-6.6
192912,47.4,0.6
193001,36.8,-8.6
193002,55.4,6.1
193003,52.9,-3.5
193004,68.9,4.1
193005,71.7,-0.8
193006,78.8,-0.8
193007,83.1,0.8
193008,83.0,1.1
193009,78.2,2.3
193010,64.4,-1.6
193011,53.3,-1.3
193012,43.6,-3.2
193101,45.9,0.5
193102,51.5,2.2
193103,51.0,-5.4
193104,60.3,-4.5
193105,68.5,-4.0
193106,80.2,0.6
193107,82.2,-0.1
193108,80.1,-1.8
193109,80.5,4.6
193110,70.8,4.8
193111,58.3,3.7
193112,47.3,0.5
193201,46.6,1.2
193202,55.7,6.4
193203,51.6,-4.8
193204,66.0,1.2
193205,71.8,-0.7
193206,79.9,0.3
193207,83.1,0.8
193208,82.1,0.2
193209,73.3,-2.6
193210,63.2,-2.8
193211,50.9,-3.7
193212,42.4,-4.4
193301,50.9,5.5
193302,46.4,-2.9
193303,58.3,1.9
193304,64.6,-0.2
193305,74.5,2.0
193306,79.8,0.2
193307,83.6,1.3
193308,81.6,-0.3
193309,80.0,4.1
193310,68.9,2.9
193311,57.0,2.4
193312,53.3,6.5
193401,47.6,2.2
193402,49.7,0.4
193403,54.6,-1.8
193404,66.6,1.8
193405,73.9,1.4
193406,83.4,3.8
193407,84.9,2.6
193408,84.3,2.4
193409,76.0,0.1
193410,70.7,4.7
193411,58.2,3.6
193412,48.3,1.5
193501,50.0,4.6
193502,49.6,0.3
193503,61.6,5.2
193504,65.8,1.0
193505,70.1,-2.4
193506,78.2,-1.4
193507,82.2,-0.1
193508,83.1,1.2
193509,72.6,-3.3
193510,68.0,2.0
193511,53.4,-1.2
193512,45.2,-1.6
193601,43.5,-1.9
193602,44.8,-4.5
193603,59.5,3.1
193604,63.9,-0.9
193605,72.6,0.1
193606,81.3,1.7
193607,81.8,-0.5
193608,83.3,1.4
193609,76.4,0.5
193610,62.4,-3.6
193611,51.3,-3.3
193612,48.7,1.9
193701,43.3,-2.1
193702,49.2,-0.1
193703,51.7,-4.7
193704,65.2,0.4
193705,74.0,1.5
193706,80.6,1.0
193707,83.3,1.0
193708,84.4,2.5
193709,77.1,1.2
193710,66.5,0.5
193711,52.4,-2.2
193712,46.4,-0.4
193801,48.0,2.6
193802,53.7,4.4
193803,61.8,5.4
193804,63.8,-1.0
193805,72.9,0.4
193806,80.2,0.6
193807,82.1,-0.2
193808,82.7,0.8
193809,76.5,0.6
193810,68.8,2.8
193811,52.6,-2.0
193812,47.6,0.8
193901,48.2,2.8
193902,46.5,-2.8
193903,58.7,2.3
193904,65.6,0.8
193905,74.6,2.1
193906,81.2,1.6
193907,83.7,1.4
193908,81.4,-0.5
193909,78.6,2.7
193910,68.0,2.0
193911,51.9,-2.7
193912,50.0,3.2
194001,36.6,-8.8
194002,48.4,-0.9
194003,57.7,1.3
194004,64.4,-0.4
194005,72.0,-0.5
194006,76.8,-2.8
194007,81.7,-0.6
194008,80.4,-1.5
194009,75.0,-0.9
194010,67.3,1.3
194011,52.5,-2.1
194012,49.4,2.6
194101,48.0,2.6
194102,47.7,-1.6
194103,50.8,-5.6
194104,63.8,-1.0
194105,72.4,-0.1
194106,76.8,-2.8
194107,80.9,-1.4
194108,81.4,-0.5
194109,76.4,0.5
194110,69.1,3.1
194111,53.6,-1.0
194112,48.4,1.6
194201,43.4,-2.0
194202,47.4,-1.9
194203,54.5,-1.9
194204,64.7,-0.1
194205,71.6,-0.9
194206,79.8,0.2
194207,81.0,-1.3
194208,80.6,-1.3
194209,72.6,-3.3
194210,64.9,-1.1
194211,58.0,3.4
194212,48.8,2.0
194301,45.6,0.2
194302,52.8,3.5
194303,53.2,-3.2
194304,68.0,3.2
194305,72.9,0.4
194306,80.2,0.6
194307,82.7,0.4
194308,85.2,3.3
194309,74.4,-1.5
194310,63.8,-2.2
194311,52.9,-1.7
194312,44.3,-2.5
194401,44.7,-0.7
194402,52.2,2.9
194403,55.0,-1.4
194404,63.8,-1.0
194405,71.4,-1.1
194406,80.5,0.9
194407,83.2,0.9
194408,82.6,0.7
194409,74.5,-1.4
194410,65.6,-0.4
194411,55.4,0.8
194412,44.0,-2.8
194501,46.2,0.8
194502,51.2,1.9
194503,60.6,4.2
194504,63.2,-1.6
194505,72.7,0.2
194506,79.6,0.0
194507,80.8,-1.5
194508,81.8,-0.1
194509,77.0,1.1
194510,64.2,-1.8
194511,58.2,3.6
194512,45.3,-1.5
194601,44.0,-1.4
194602,51.1,1.8
194603,59.0,2.6
194604,68.5,3.7
194605,71.9,-0.6
194606,78.6,-1.0
194607,83.2,0.9
194608,82.7,0.8
194609,75.6,-0.3
194610,67.7,1.7
194611,55.1,0.5
194612,50.8,4.0
194701,43.3,-2.1
194702,44.0,-5.3
194703,51.5,-4.9
194704,64.2,-0.6
194705,71.8,-0.7
194706,80.5,0.9
194707,82.6,0.3
194708,82.2,0.3
194709,77.6,1.7
194710,71.8,5.8
194711,51.6,-3.0
194712,47.3,0.5
194801,40.2,-5.2
194802,47.3,-2.0
194803,53.4,-3.0
194804,69.2,4.4
194805,74.2,1.7
194806,81.7,2.1
194807,82.9,0.6
194808,83.1,1.2
194809,75.3,-0.6
194810,65.0,-1.0
194811,52.8,-1.8
194812,50.6,3.8
194901,39.9,-5.5
194902,50.2,0.9
194903,56.3,-0.1
194904,61.5,-3.3
194905,74.0,1.5
194906,79.6,0.0
194907,82.6,0.3
194908,80.0,-1.9
194909,75.4,-0.5
194910,65.2,-0.8
194911,57.3,2.7
194912,48.8,2.0
195001,51.3,5.9
195002,53.3,4.0
195003,55.6,-0.8
195004,64.4,-0.4
195005,73.4,0.9
195006,79.2,-0.4
195007,80.5,-1.8
195008,80.3,-1.6
195009,75.0,-0.9
195010,69.8,3.8
195011,54.4,-0.2
195012,47.2,0.4
195101,45.4,0.0
195102,49.3,0.0
195103,56.1,-0.3
195104,63.7,-1.1
195105,72.8,0.3
195106,79.9,0.3
195107,84.6,2.3
195108,84.9,3.0
195109,77.1,1.2
195110,68.2,2.2
195111,51.8,-2.8
195112,49.4,2.6
195201,52.8,7.4
195202,52.4,3.1
195203,54.3,-2.1
195204,62.5,-2.3
195205,71.6,-0.9
195206,81.7,2.1
195207,82.1,-0.2
195208,85.6,3.7
195209,75.6,-0.3
195210,62.8,-3.2
195211,52.7,-1.9
195212,45.7,-1.1
195301,51.2,5.8
195302,49.2,-0.1
195303,61.3,4.9
195304,64.2,-0.6
195305,72.8,0.3
195306,85.0,5.4
195307,83.7,1.4
195308,81.7,-0.2
195309,76.3,0.4
195310,66.8,0.8
195311,53.6,-1.0
195312,43.8,-3.0
195401,47.9,2.5
195402,55.3,6.0
195403,55.3,-1.1
195404,69.1,4.3
195405,69.8,-2.7
195406,80.8,1.2
195407,85.1,2.8
195408,84.0,2.1
195409,79.4,3.5
195410,68.1,2.1
195411,54.8,0.2
195412,49.7,2.9
195501,45.6,0.2
195502,48.3,-1.0
195503,57.8,1.4
195504,68.3,3.5
195505,74.6,2.1
195506,78.3,-1.3
195507,82.1,-0.2
195508,81.6,-0.3
195509,77.5,1.6
195510,66.3,0.3
195511,54.0,-0.6
195512,48.2,1.4
195601,46.1,0.7
195602,49.2,-0.1
195603,57.2,0.8
195604,64.3,-0.5
195605,76.0,3.5
195606,82.0,2.4
195607,84.0,1.7
195608,83.3,1.4
195609,77.8,1.9
195610,69.4,3.4
195611,52.2,-2.4
195612,50.0,3.2
195701,46.8,1.4
195702,55.9,6.6
195703,55.2,-1.2
195704,62.7,-2.1
195705,70.8,-1.7
195706,78.6,-1.0
195707,84.4,2.1
195708,82.9,1.0
195709,74.2,-1.7
195710,62.7,-3.3
195711,51.0,-3.6
195712,50.1,3.3
195801,43.6,-1.8
195802,45.3,-4.0
195803,49.3,-7.1
195804,62.6,-2.2
195805,72.6,0.1
195806,81.3,1.7
195807,83.3,1.0
195808,82.9,1.0
195809,76.3,0.4
195810,63.9,-2.1
195811,55.3,0.7
195812,44.7,-2.1
195901,43.1,-2.3
195902,48.4,-0.9
195903,54.5,-1.9
195904,62.5,-2.3
195905,74.3,1.8
195906,79.6,0.0
195907,80.4,-1.9
195908,81.7,-0.2
195909,77.5,1.6
195910,64.9,-1.1
195911,49.1,-5.5
195912,48.4,1.6
196001,44.1,-1.3
196002,43.7,-5.6
196003,50.6,-5.8
196004,66.6,1.8
196005,71.5,-1.0
196006,81.2,1.6
196007,81.7,-0.6
196008,81.2,-0.7
196009,76.2,0.3
196010,68.1,2.1
196011,56.1,1.5
196012,42.9,-3.9
196101,41.4,-4.0
196102,49.6,0.3
196103,57.9,1.5
196104,63.7,-1.1
196105,73.4,0.9
196106,77.6,-2.0
196107,79.6,-2.7
196108,79.4,-2.5
196109,75.1,-0.8
196110,65.7,-0.3
196111,51.3,-3.3
196112,46.6,-0.2
196201,40.1,-5.3
196202,55.7,6.4
196203,53.0,-3.4
196204,64.6,-0.2
196205,75.6,3.1
196206,78.4,-1.2
196207,82.9,0.6
196208,83.8,1.9
196209,76.5,0.6
196210,69.4,3.4
196211,54.9,0.3
196212,46.8,0.0
196301,39.2,-6.2
196302,47.7,-1.6
196303,59.2,2.8
196304,70.0,5.2
196305,74.4,1.9
196306,80.1,0.5
196307,83.8,1.5
196308,83.2,1.3
196309,77.1,1.2
196310,70.3,4.3
196311,56.7,2.1
196312,40.7,-6.1
196401,44.6,-0.8
196402,43.8,-5.5
196403,55.2,-1.2
196404,67.0,2.2
196405,74.4,1.9
196406,79.5,-0.1
196407,84.2,1.9
196408,83.4,1.5
196409,75.8,-0.1
196410,63.9,-2.1
196411,57.0,2.4
196412,47.3,0.5
196501,49.2,3.8
196502,46.2,-3.1
196503,49.5,-6.9
196504,68.2,3.4
196505,72.9,0.4
196506,78.8,-0.8
196507,83.0,0.7
196508,80.9,-1.0
196509,76.8,0.9
196510,64.3,-1.7
196511,60.7,6.1
196512,50.6,3.8
196601,40.3,-5.1
196602,44.8,-4.5
196603,56.7,0.3
196604,64.8,0.0
196605,71.6,-0.9
196606,78.1,-1.5
196607,84.0,1.7
196608,79.5,-2.4
196609,74.4,-1.5
196610,63.5,-2.5
196611,58.6,4.0
196612,45.5,-1.3
196701,46.5,1.1
196702,48.2,-1.1
196703,62.0,5.6
196704,70.6,5.8
196705,71.9,-0.6
196706,80.3,0.7
196707,81.6,-0.7
196708,79.6,-2.3
196709,72.3,-3.6
196710,64.9,-1.1
196711,55.3,0.7
196712,45.3,-1.5
196801,44.5,-0.9
196802,45.1,-4.2
196803,53.6,-2.8
196804,63.7,-1.1
196805,71.7,-0.8
196806,78.4,-1.2
196807,79.7,-2.6
196808,80.8,-1.1
196809,73.1,-2.8
196810,67.4,1.4
196811,52.9,-1.7
196812,46.4,-0.4
196901,48.9,3.5
196902,49.6,0.3
196903,49.0,-7.4
196904,65.8,1.0
196905,71.3,-1.2
196906,79.1,-0.5
196907,85.1,2.8
196908,83.1,1.2
196909,75.6,-0.3
196910,64.4,-1.6
196911,53.4,-1.2
196912,49.1,2.3
197001,41.8,-3.6
197002,49.5,0.2
197003,51.7,-4.7
197004,65.3,0.5
197005,70.7,-1.8
197006,77.8,-1.8
197007,81.9,-0.4
197008,82.3,0.4
197009,75.7,-0.2
197010,62.3,-3.7
197011,52.6,-2.0
197012,53.2,6.4
197101,48.8,3.4
197102,49.7,0.4
197103,56.8,0.4
197104,64.2,-0.6
197105,72.3,-0.2
197106,80.3,0.7
197107,82.2,-0.1
197108,77.1,-4.8
197109,74.4,-1.5
197110,66.8,0.8
197111,55.9,1.3
197112,50.6,3.8
197201,47.1,1.7
197202,50.6,1.3
197203,61.1,4.7
197204,68.8,4.0
197205,71.0,-1.5
197206,79.1,-0.5
197207,80.0,-2.3
197208,79.4,-2.5
197209,77.2,1.3
197210,66.0,0.0
197211,48.8,-5.8
197212,44.1,-2.7
197301,41.0,-4.4
197302,46.4,-2.9
197303,58.0,1.6
197304,60.1,-4.7
197305,70.8,-1.7
197306,77.4,-2.2
197307,80.8,-1.5
197308,79.7,-2.2
197309,75.1,-0.8
197310,67.5,1.5
197311,59.9,5.3
197312,47.9,1.1
197401,45.4,0.0
197402,50.9,1.6
197403,62.6,6.2
197404,66.0,1.2
197405,75.5,3.0
197406,78.6,-1.0
197407,82.4,0.1
197408,79.0,-2.9
197409,69.1,-6.8
197410,65.3,-0.7
197411,53.6,-1.0
197412,45.8,-1.0
197501,47.8,2.4
197502,47.9,-1.4
197503,55.4,-1.0
197504,63.6,-1.2
197505,71.7,-0.8
197506,78.6,-1.0
197507,79.2,-3.1
197508,80.1,-1.8
197509,71.8,-4.1
197510,66.0,0.0
197511,55.4,0.8
197512,47.8,1.0
197601,45.0,-0.4
197602,56.2,6.9
197603,58.3,1.9
197604,65.3,0.5
197605,68.3,-4.2
197606,78.0,-1.6
197607,78.0,-4.3
197608,80.1,-1.8
197609,73.9,-2.0
197610,58.3,-7.7
197611,47.8,-6.8
197612,44.6,-2.2
197701,38.7,-6.7
197702,50.2,0.9
197703,56.8,0.4
197704,64.0,-0.8
197705,73.4,0.9
197706,80.4,0.8
197707,83.0,0.7
197708,83.2,1.3
197709,80.1,4.2
197710,67.3,1.3
197711,56.8,2.2
197712,49.5,2.7
197801,38.3,-7.1
197802,40.8,-8.5
197803,55.4,-1.0
197804,67.8,3.0
197805,74.0,1.5
197806,80.2,0.6
197807,84.6,2.3
197808,81.0,-0.9
197809,75.5,-0.4
197810,65.5,-0.5
197811,56.5,1.9
197812,45.6,-1.2
197901,37.2,-8.2
197902,45.7,-3.6
197903,56.9,0.5
197904,64.6,-0.2
197905,69.8,-2.7
197906,77.2,-2.4
197907,81.9,-0.4
197908,79.6,-2.3
197909,74.1,-1.8
197910,68.7,2.7
197911,51.2,-3.4
197912,47.6,0.8
198001,46.9,1.5
198002,48.0,-1.3
198003,55.2,-1.2
198004,62.5,-2.3
198005,72.2,-0.3
198006,83.0,3.4
198007,86.1,3.8
198008,83.0,1.1
198009,77.7,1.8
198010,63.8,-2.2
198011,52.1,-2.5
198012,49.3,2.5
198101,45.9,0.5
198102,49.8,0.5
198103,55.4,-1.0
198104,68.0,3.2
198105,70.9,-1.6
198106,79.3,-0.3
198107,82.5,0.2
198108,80.4,-1.5
198109,75.0,-0.9
198110,66.2,0.2
198111,57.5,2.9
198112,48.8,2.0
198201,46.1,0.7
198202,46.4,-2.9
198203,58.9,2.5
198204,64.0,-0.8
198205,71.5,-1.0
198206,78.2,-1.4
198207,82.7,0.4
198208,83.2,1.3
198209,77.0,1.1
198210,65.6,-0.4
198211,54.7,0.1
198212,47.5,0.7
198301,44.0,-1.4
198302,48.5,-0.8
198303,55.1,-1.3
198304,60.7,-4.1
198305,70.7,-1.8
198306,76.7,-2.9
198307,82.0,-0.3
198308,82.8,0.9
198309,76.7,0.8
198310,67.5,1.5
198311,57.5,2.9
198312,38.4,-8.4
198401,41.7,-3.7
198402,50.4,1.1
198403,57.0,0.6
198404,64.4,-0.4
198405,73.9,1.4
198406,79.9,0.3
198407,81.8,-0.5
198408,81.7,-0.2
198409,73.7,-2.2
198410,65.6,-0.4
198411,54.5,-0.1
198412,52.8,6.0
198501,40.3,-5.1
198502,45.7,-3.6
198503,59.4,3.0
198504,66.6,1.8
198505,73.6,1.1
198506,78.3,-1.3
198507,81.0,-1.3
198508,83.4,1.5
198509,76.0,0.1
198510,66.4,0.4
198511,57.6,3.0
198512,44.1,-2.7
198601,48.9,3.5
198602,53.2,3.9
198603,59.7,3.3
198604,68.5,3.7
198605,72.3,-0.2
198606,78.4,-1.2
198607,82.8,0.5
198608,81.0,-0.9
198609,77.2,1.3
198610,64.5,-1.5
198611,53.8,-0.8
198612,45.9,-0.9
198701,45.0,-0.4
198702,50.6,1.3
198703,53.2,-3.2
198704,62.2,-2.6
198705,72.1,-0.4
198706,77.3,-2.3
198707,80.6,-1.7
198708,82.2,0.3
198709,74.4,-1.5
198710,65.6,-0.4
198711,55.0,0.4
198712,47.5,0.7
198801,42.0,-3.4
198802,48.4,-0.9
198803,56.2,-0.2
198804,64.0,-0.8
198805,71.3,-1.2
198806,78.3,-1.3
198807,81.1,-1.2
198808,82.1,0.2
198809,75.6,-0.3
198810,66.3,0.3
198811,58.1,3.5
198812,48.5,1.7
198901,50.0,4.6
198902,45.4,-3.9
198903,57.6,1.2
198904,66.6,1.8
198905,75.3,2.8
198906,77.6,-2.0
198907,81.6,-0.7
198908,80.5,-1.4
198909,73.1,-2.8
198910,66.9,0.9
198911,56.9,2.3
198912,39.7,-7.1
199001,50.2,4.8
199002,53.3,4.0
199003,57.3,0.9
199004,64.7,-0.1
199005,72.8,0.3
199006,83.6,4.0
199007,79.9,-2.4
199008,80.5,-1.4
199009,76.4,0.5
199010,64.5,-1.5
199011,58.3,3.7
199012,45.8,-1.0
199101,43.4,-2.0
199102,52.5,3.2
199103,59.3,2.9
199104,67.1,2.3
199105,74.6,2.1
199106,79.4,-0.2
199107,80.9,-1.4
199108,80.3,-1.6
199109,72.4,-3.5
199110,67.1,1.1
199111,50.9,-3.7
199112,49.2,2.4
199201,45.4,0.0
199202,53.0,3.7
199203,58.9,2.5
199204,64.5,-0.3
199205,69.6,-2.9
199206,77.9,-1.7
199207,81.4,-0.9
199208,78.2,-3.7
199209,76.0,0.1
199210,67.4,1.4
199211,51.8,-2.8
199212,48.6,1.8
199301,45.5,0.1
199302,49.3,0.0
199303,56.0,-0.4
199304,63.0,-1.8
199305,70.6,-1.9
199306,79.0,-0.6
199307,83.1,0.8
199308,82.9,1.0
199309,75.0,-0.9
199310,64.4,-1.6
199311,51.0,-3.6
199312,49.2,2.4
199401,46.6,1.2
199402,49.1,-0.2
199403,58.4,2.0
199404,65.0,0.2
199405,71.5,-1.0
199406,82.1,2.5
199407,82.9,0.6
199408,81.5,-0.4
199409,74.4,-1.5
199410,66.8,0.8
199411,58.0,3.4
199412,50.6,3.8
199501,48.0,2.6
199502,53.2,3.9
199503,56.5,0.1
199504,63.8,-1.0
199505,72.4,-0.1
199506,77.4,-2.2
199507,82.7,0.4
